date,country,state_province,distributor_id,channel,retailer_id,sku,product_name,bottle_size_ml,units,unit_price,currency,discount_applied,promo_id,order_id,invoice_id
09-07-2023,Canada,ON,D002,On-Trade,R0012,CH-04-750,MAISON ÉTOILE vintage 2014 750ml,750,4,70.82,CAD,1,,O500040,INV500080
,USA,NC,D003,On-Trade,R0013,CH-05-750,MAISON ÉTOILE vintage 2016 750ml,750,3,57.62,USD,1,,O500041,
05/01/2025,USA,FL,D002,Off-Trade,R0004,CH-03-375,Maison Étoile Blanc de Blancs 375 mL,375,3,27.17,USD,0,,O500042,INV500082
2023-04-28,USA,TX,D004,Off-Trade,R0005,CH-07-375,MAISON ÉTOILE extra brut 375ml,375,2,32.84,CAD,0,,O500043,INV500077
18-02-2023,USA,PA,D004,On-Trade,R0017,CH-03-750,Maison Etoile Blanc de Blancs 750ml,750,4,63.22,USD,0,,O500044,
2024-01-15,USA,CA,D004,On-Trade,R0007,CH-01-750,MAISON ÉTOILE brut tradition 750ml,750,2,63.81,CAD,0,,O500045,INV500072
2025-03-16,USA,OH,D004,Off-Trade,R0006,CH-03-750,Maison Étoile Blanc de Blancs 750 mL,750,2,60.69,USD,0,,O500046,
2025-04-06,USA,GA,D001,Off-Trade,R0005,CH-07-750,Maison Etoile Extra Brut 750ml,750,5,58.47,USD,0,,O500047,INV500091
2024-11-04,Canada,NB,D003,On-Trade,R0009,CH-02-750,Maison Etoile Brut Rosé 750ml,750,5,71.68,CAD,1,,O500048,INV500058
01/30/2025,USA,WA,D001,On-Trade,R0005,CH-03-1500,Maison Étoile Blanc de Blancs 1500 mL,1500,1,140.3,USD,0,,O500049,INV500059
2024-04-20,Canada,AB,D001,Off-Trade,R0011,CH-07-750,Maison Étoile - Extra Brut 750ml,750,2,83.16,CAD,0,,O500050,INV500060
05/13/2024,Canada,MB,D002,On-Trade,R0011,CH-06-750,Maison Étoile - Demi-sec 750ml,750,4,92.56,CAD,1,,O500051,INV500099
13-01-2023,USA,OH,D002,On-Trade,R0006,CH-05-1500,Maison Étoile - Vintage 2016 1500ml,1500,1,120.47,USD,0,,O500052,INV500081
02-05-2024,USA,TX,D001,On-Trade,R0005,CH-06-375,MAISON ÉTOILE demi-sec 375ml,375,7,29.9,USD,0,P1003,O500053,INV500082
11/15/2024,USA,MN,D003,Off-Trade,R0002,CH-01-375,Maison Étoile Brut Tradition 375 mL,375,6,39.03,USD,0,,O500054,INV500080
2024-03-12,USA,MN,D001,Off-Trade,R0001,CH-05-1500,Maison Étoile Vintage 2016 1500 mL,1500,2,124.04,USD,0,,O500055,INV500104
30-01-2023,USA,MA,D002,On-Trade,R0002,CH-01-750,Maison Étoile Brut Tradition 750 mL,750,1,57.37,CAD,0,,O500056,INV500081
2024-01-25,Canada,NL,D001,On-Trade,R0008,CH-06-1500,Maison Étoile Demi-sec 1500 mL,1500,0,186.19,CAD,0,,O500057,INV500105
2023-08-06,USA,GA,D003,On-Trade,R0005,CH-07-375,Maison Etoile Extra Brut 375ml,375,2,35.74,USD,0,,O500058,INV500076
06-07-2024,USA,CT,D004,On-Trade,R0018,CH-01-375,Maison Étoile - Brut Tradition 375ml,375,7,36.94,USD,1,,O500059,INV500081
01/03/2023,USA,MA,D002,On-Trade,R0004,CH-01-750,Maison Étoile - Brut Tradition 750ml,750,0,63.94,USD,0,P1009,O500060,INV500105
18-05-2023,USA,MD,D002,Off-Trade,R0006,CH-02-750,Maison Etoile Brut Rosé 750ml,750,2,61.34,USD,1,,O500061,INV500088
11/23/2024,Canada,NL,D002,On-Trade,R0012,CH-03-375,Maison Etoile Blanc de Blancs 375ml,375,12,38.67,CAD,1,,O500062,INV500084
08/30/2024,USA,NJ,D001,On-Trade,R0018,CH-05-375,Maison Etoile Vintage 2016 375ml,375,7,33.79,USD,0,,O500063,INV500109
11/16/2024,USA,CT,D001,On-Trade,R0014,CH-03-750,MAISON ÉTOILE blanc de blancs 750ml,750,5,64.74,USD,0,,O500064,INV500076
2023-08-23,USA,CO,D001,Off-Trade,R0018,CH-05-375,MAISON ÉTOILE vintage 2016 375ml,375,6,31.74,USD,0,,O500065,INV500087
07-03-2025,USA,MI,D003,On-Trade,R0002,CH-07-750,Maison Étoile Extra Brut 750 mL,750,4,68.0,USD,0,,O500066,INV500094
06/05/2023,Canada,MB,D004,Off-Trade,R0009,CH-04-375,Maison Étoile Vintage 2014 375 mL,375,5,48.63,CAD,0,P1054,O500067,INV500093
2024-02-08,USA,TX,D001,On-Trade,R0016,CH-03-375,Maison Étoile Blanc de Blancs 375 mL,375,5,24.29,USD,0,P1016,O500068,INV500089
03-04-2025,USA,NC,D002,Off-Trade,R0018,CH-03-750,MAISON ÉTOILE blanc de blancs 750ml,750,7,60.82,USD,0,,O500069,INV500116
2024-02-25,USA,MA,D003,On-Trade,R0002,CH-06-375,Maison Étoile - Demi-sec 375ml,375,4,33.16,USD,0,,O500070,
31-07-2023,Canada,NS,D003,On-Trade,R0011,CH-02-375,MAISON ÉTOILE brut rosé 375ml,375,8,46.98,CAD,0,,O500071,INV500106
29-09-2023,USA,GA,D002,On-Trade,R0002,CH-06-375,Maison Étoile - Demi-sec 375ml,375,3,29.34,USD,0,,O500072,INV500109
03/29/2023,USA,WA,D003,Off-Trade,R0007,CH-01-750,Maison Etoile Brut Tradition 750ml,750,2,65.31,USD,0,P1005,O500073,INV500078
2023-06-24,Canada,ON,D001,On-Trade,R0011,CH-06-375,Maison Étoile Demi-sec 375 mL,375,3,44.28,CAD,0,,O500074,INV500092
10/10/2023,USA,OH,D004,Off-Trade,R0003,CH-03-375,Maison Etoile Blanc de Blancs 375ml,375,3,28.68,USD,0,,O500075,INV500111
17-08-2024,USA,OH,D004,On-Trade,R0001,CH-01-375,Maison Étoile - Brut Tradition 375ml,375,6,34.35,USD,0,,O500076,INV500097
03/25/2023,Canada,NB,D002,Off-Trade,R0015,CH-04-1500,Maison Étoile Vintage 2014 1500 mL,1500,1,154.84,CAD,0,,O500077,INV500084
02/16/2024,USA,CT,D002,Off-Trade,R0001,CH-03-375,Maison Étoile Blanc de Blancs 375 mL,375,4,28.13,USD,0,P1028,O500078,INV500124
27-04-2024,USA,CA,D002,E-Commerce,R0017,CH-05-750,MAISON ÉTOILE vintage 2016 750ml,750,3,56.72,USD,1,,O500079,INV500079
2024-07-13,USA,FL,D002,On-Trade,R0018,CH-05-375,MAISON ÉTOILE vintage 2016 375ml,375,8,33.32,USD,1,,O500080,INV500100
2023-09-05,USA,NJ,D002,Off-Trade,R0013,CH-05-375,Maison Étoile Vintage 2016 375 mL,375,3,39.01,USD,0,P1042,O500081,INV500128
11/27/2023,USA,GA,D002,Off-Trade,R0003,CH-04-375,Maison Étoile Vintage 2014 375 mL,375,10,35.02,USD,0,,O500082,INV500119
,USA,CO,D002,On-Trade,R0004,CH-04-1500,Maison Étoile Vintage 2014 1500 mL,1500,1,146.76,CAD,1,P1000,O500083,INV500085
2024-10-06,USA,CT,D003,Off-Trade,R0004,CH-03-750,Maison Étoile - Blanc de Blancs 750ml,750,1,60.15,USD,1,,O500084,INV500107
09/13/2024,USA,WA,D004,Off-Trade,R0005,CH-07-375,Maison Étoile - Extra Brut 375ml,375,6,36.8,USD,0,,O500085,INV500106
09-05-2024,USA,MA,D001,Off-Trade,R0006,CH-06-375,MAISON ÉTOILE demi-sec 375ml,375,6,36.62,USD,0,P1010,O500086,INV500099
16-02-2024,USA,MD,D001,On-Trade,R0003,CH-05-750,Maison Etoile Vintage 2016 750ml,750,4,64.69,USD,0,P1046,O500087,INV500099
2023-10-09,USA,IL,D002,Off-Trade,R0007,CH-06-375,MAISON ÉTOILE demi-sec 375ml,375,11,33.01,USD,1,P1043,O500088,INV500128
17-06-2025,USA,MA,D002,E-Commerce,R0002,CH-01-375,Maison Etoile Brut Tradition 375ml,375,6,41.22,USD,0,,O500089,INV500103
11/24/2024,USA,FL,D003,On-Trade,R0017,CH-05-375,Maison Étoile Vintage 2016 375 mL,375,4,34.99,USD,0,P1007,O500090,INV500098
2024-05-14,USA,MN,D004,Off-Trade,R0017,CH-01-1500,MAISON ÉTOILE brut tradition 1500ml,1500,0,137.83,USD,1,,O500091,INV500113
04/14/2024,USA,GA,D001,Off-Trade,R0006,CH-03-375,Maison Étoile - Blanc de Blancs 375ml,375,9,23.65,USD,0,,O500092,INV500129
2024-11-15,USA,AZ,D003,Off-Trade,R0006,CH-01-375,Maison Étoile Brut Tradition 375 mL,375,11,30.43,USD,0,,O500093,INV500138
2025-02-05,USA,AZ,D002,On-Trade,R0013,CH-02-375,MAISON ÉTOILE brut rosé 375ml,375,4,36.66,USD,0,,O500094,INV500138
03-04-2024,Canada,NS,D003,On-Trade,R0011,CH-05-375,Maison Etoile Vintage 2016 375ml,375,1,41.2,CAD,0,,O500095,INV500126
2023-07-27,Canada,PE,D003,Off-Trade,R0012,CH-05-375,Maison Etoile Vintage 2016 375ml,375,7,49.41,CAD,1,,O500096,INV500145
15-10-2023,Canada,NB,D002,On-Trade,R0010,CH-01-1500,Maison Étoile Brut Tradition 1500 mL,1500,1,193.59,CAD,0,,O500097,INV500106
02/10/2024,USA,MI,D001,E-Commerce,R0002,CH-01-375,MAISON ÉTOILE brut tradition 375ml,375,10,37.61,USD,0,,O500098,INV500137
01-10-2024,Canada,NB,D004,Off-Trade,R0010,CH-06-375,MAISON ÉTOILE demi-sec 375ml,375,4,43.76,CAD,0,,O500099,INV500106
2024-09-22,USA,GA,D002,On-Trade,R0017,CH-06-375,Maison Etoile Demi-sec 375ml,375,3,36.92,USD,0,P1007,O500100,INV500139
05/11/2025,USA,MI,D004,Off-Trade,R0004,CH-02-375,Maison Etoile Brut Rosé 375ml,375,4,26.73,USD,0,,O500101,INV500111
05/08/2023,USA,NC,D004,On-Trade,R0007,CH-01-375,Maison Etoile Brut Tradition 375ml,375,3,33.02,USD,0,,O500102,INV500113
2024-06-08,Canada,SK,D004,On-Trade,R0012,CH-04-375,Maison Étoile - Vintage 2014 375ml,375,7,40.31,CAD,0,,O500103,INV500142
07/07/2023,Canada,NS,D004,E-Commerce,R0008,CH-06-375,Maison Étoile - Demi-sec 375ml,375,3,44.38,CAD,0,,O500104,INV500135
27-06-2024,Canada,ON,D003,Off-Trade,R0012,,MAISON ÉTOILE brut tradition 1500ml,1500,1,191.11,CAD,1,,O500105,INV500143
2023-10-03,USA,FL,D001,Off-Trade,R0001,CH-02-750,Maison Étoile Brut Rosé 750 mL,750,7,62.06,USD,0,,O500106,INV500122
19-02-2025,USA,OH,D003,Off-Trade,R0003,CH-05-375,Maison Etoile Vintage 2016 375ml,375,5,36.06,USD,0,,O500107,
,USA,MA,D004,E-Commerce,R0018,CH-03-375,Maison Étoile Blanc de Blancs 375 mL,375,5,29.19,USD,0,,O500108,INV500157
15-08-2023,USA,MI,D001,E-Commerce,R0013,CH-07-750,Maison Étoile Extra Brut 750 mL,750,3,69.77,USD,1,,O500109,
2023-10-15,Canada,NB,D004,E-Commerce,R0009,CH-02-750,Maison Etoile Brut Rosé 750ml,750,1,78.53,CAD,0,,O500110,INV500159
,Canada,NL,D003,Off-Trade,R0009,CH-01-375,Maison Étoile - Brut Tradition 375ml,375,4,48.76,CAD,0,P1026,O500111,INV500126
11-06-2023,Canada,AB,D004,E-Commerce,R0008,CH-03-750,Maison Étoile - Blanc de Blancs 750ml,750,6,80.72,CAD,0,P1014,O500112,INV500157
22-04-2023,USA,CT,D001,Off-Trade,R0006,CH-04-375,Maison Etoile Vintage 2014 375ml,375,5,34.12,USD,0,P1052,O500113,INV500149
2024-05-28,USA,MN,D002,Off-Trade,R0018,CH-01-750,Maison Etoile Brut Tradition 750ml,750,2,61.09,USD,1,P1051,O500114,INV500138
30-01-2025,USA,GA,D001,Off-Trade,R0006,CH-03-1500,Maison Étoile - Blanc de Blancs 1500ml,1500,0,142.63,USD,0,,O500115,INV500140
01/01/2024,USA,MD,D002,Off-Trade,R0001,CH-02-750,Maison Étoile - Brut Rosé 750ml,750,1,56.08,USD,0,,O500116,INV500162
2024-01-23,Canada,NB,D004,On-Trade,R0010,CH-06-375,Maison Etoile Demi-sec 375ml,375,3,45.29,CAD,1,,O500117,INV500160
2023-12-21,USA,VA,D001,On-Trade,R0004,CH-04-750,MAISON ÉTOILE vintage 2014 750ml,750,2,66.81,USD,1,,O500118,INV500132
25-05-2025,USA,OH,D003,On-Trade,R0006,CH-04-375,Maison Étoile Vintage 2014 375 mL,375,8,36.71,USD,0,,O500119,INV500150
07/31/2023,USA,TX,D002,On-Trade,R0001,CH-05-750,MAISON ÉTOILE vintage 2016 750ml,750,2,57.63,USD,0,P1021,O500120,INV500167
08/21/2024,USA,MI,D003,E-Commerce,R0007,CH-01-375,Maison Étoile Brut Tradition 375 mL,375,7,37.36,USD,0,,O500121,INV500166
02/17/2023,USA,CO,D003,Off-Trade,R0006,CH-07-750,MAISON ÉTOILE extra brut 750ml,750,3,60.1,USD,0,P1048,O500122,INV500139
06-03-2024,USA,NC,D004,On-Trade,R0007,CH-01-375,Maison Étoile - Brut Tradition 375ml,375,4,38.64,USD,0,P1059,O500123,INV500134
2024-06-03,USA,FL,D004,On-Trade,R0018,CH-02-750,Maison Étoile Brut Rosé 750 mL,750,4,58.01,USD,1,,O500124,INV500136
10/08/2023,USA,CA,D002,On-Trade,R0002,CH-01-375,Maison Etoile Brut Tradition 375ml,375,3,41.64,USD,0,,O500125,INV500146
04-08-2024,Canada,AB,D001,Off-Trade,R0009,CH-03-375,MAISON ÉTOILE blanc de blancs 375ml,375,5,39.56,CAD,0,,O500126,INV500144
2023-11-12,USA,OH,D002,On-Trade,R0017,CH-02-750,Maison Étoile - Brut Rosé 750ml,750,4,63.81,USD,1,P1046,O500127,INV500154
14-02-2024,Canada,BC,D004,On-Trade,R0010,CH-04-1500,Maison Étoile - Vintage 2014 1500ml,1500,3,185.14,CAD,0,,O500128,INV500167
2024-12-20,USA,OR,D002,On-Trade,R0014,CH-07-1500,Maison Etoile Extra Brut 1500ml,1500,2,118.23,CAD,0,,O500129,INV500162
02/12/2024,USA,VA,D002,On-Trade,R0018,CH-04-1500,Maison Étoile Vintage 2014 1500 mL,1500,0,145.21,USD,0,,O500130,INV500141
2025-04-27,Canada,NL,D004,Off-Trade,R0011,CH-05-375,Maison Étoile Vintage 2016 375 mL,375,5,44.65,CAD,1,,O500131,INV500144
11-07-2024,USA,NJ,D002,E-Commerce,R0002,CH-02-1500,MAISON ÉTOILE brut rosé 1500ml,1500,2,134.81,CAD,1,,O500132,INV500159
24-12-2024,Canada,NS,D003,Off-Trade,R0015,CH-05-750,Maison Étoile - Vintage 2016 750ml,750,4,71.71,CAD,1,,O500133,INV500143
06/13/2025,USA,NY,D001,On-Trade,R0004,CH-05-750,Maison Etoile Vintage 2016 750ml,750,1,52.27,USD,0,,O500134,INV500178
15-11-2024,USA,OR,D003,Off-Trade,R0006,CH-02-375,Maison Étoile Brut Rosé 375 mL,375,10,34.42,USD,0,,O500135,INV500145
01/04/2024,USA,TX,D004,Off-Trade,R0004,CH-06-375,MAISON ÉTOILE demi-sec 375ml,375,6,32.6,USD,0,,O500136,INV500139
,USA,CO,D003,On-Trade,R0014,CH-01-375,MAISON ÉTOILE brut tradition 375ml,375,6,36.03,USD,0,P1055,O500137,INV500161
05/20/2024,USA,GA,D003,Off-Trade,R0002,CH-02-375,Maison Étoile - Brut Rosé 375ml,375,3,32.46,USD,0,,O500138,
2023-06-27,USA,MA,D001,On-Trade,R0004,CH-04-375,Maison Etoile Vintage 2014 375ml,375,4,38.36,USD,0,P1058,O500139,INV500169
05/03/2024,USA,CO,D002,Off-Trade,R0004,CH-06-375,Maison Étoile - Demi-sec 375ml,375,5,34.78,USD,0,,O500140,INV500181
2023-09-03,USA,NY,D003,On-Trade,R0002,CH-05-375,Maison Étoile Vintage 2016 375 mL,375,4,26.63,USD,0,,O500141,INV500171
01/22/2023,Canada,NS,D002,Off-Trade,R0008,CH-01-375,Maison Étoile Brut Tradition 375 mL,375,4,46.31,CAD,0,,O500142,INV500146
03-05-2023,USA,GA,D004,On-Trade,R0003,CH-01-375,MAISON ÉTOILE brut tradition 375ml,375,5,36.43,USD,0,P1044,O500143,INV500150
23-11-2023,Canada,QC,D001,E-Commerce,R0008,CH-05-375,Maison Étoile Vintage 2016 375 mL,375,5,44.24,CAD,0,,O500144,INV500186
04/25/2025,USA,MN,D004,On-Trade,R0014,CH-03-750,Maison Etoile Blanc de Blancs 750ml,750,0,55.51,USD,0,P1002,O500145,INV500170
2024-12-09,USA,CT,D003,On-Trade,R0016,CH-04-750,MAISON ÉTOILE vintage 2014 750ml,750,6,58.4,USD,0,,O500146,INV500188
01-01-2025,USA,OR,D001,On-Trade,R0005,CH-05-750,Maison Etoile Vintage 2016 750ml,750,2,56.64,USD,1,,O500147,
14-03-2024,USA,MA,D001,E-Commerce,R0001,CH-03-375,MAISON ÉTOILE blanc de blancs 375ml,375,7,26.31,USD,0,P1046,O500148,INV500187
2024-10-10,USA,MA,D004,On-Trade,R0001,CH-01-750,Maison Étoile - Brut Tradition 750ml,750,3,56.48,USD,0,P1005,O500149,INV500159
09-02-2025,USA,NY,D004,On-Trade,R0001,CH-03-375,MAISON ÉTOILE blanc de blancs 375ml,375,4,28.17,USD,0,,O500150,INV500172
,USA,MA,D003,On-Trade,R0014,CH-04-750,Maison Etoile Vintage 2014 750ml,750,3,53.63,USD,0,P1029,O500151,INV500168
2023-06-17,USA,FL,D001,On-Trade,R0003,CH-04-750,Maison Etoile Vintage 2014 750ml,750,5,54.31,USD,0,,O500152,INV500197
2025-06-27,USA,GA,D004,Off-Trade,R0004,CH-04-375,Maison Etoile Vintage 2014 375ml,375,6,38.2,USD,0,P1030,O500153,INV500202
05/20/2025,Canada,BC,D002,On-Trade,R0010,CH-05-375,MAISON ÉTOILE vintage 2016 375ml,375,4,44.45,CAD,0,,O500154,
2023-11-01,Canada,NS,D004,Off-Trade,R0009,CH-02-1500,MAISON ÉTOILE brut rosé 1500ml,1500,8,168.5,CAD,0,,O500155,INV500178
2023-06-15,USA,OH,D001,Off-Trade,R0007,CH-06-375,Maison Etoile Demi-sec 375ml,375,8,33.44,USD,0,,O500156,INV500182
2025-06-03,USA,FL,D001,Off-Trade,R0001,CH-03-750,MAISON ÉTOILE blanc de blancs 750ml,750,4,61.01,USD,0,,O500157,INV500187
12/18/2024,USA,PA,D003,Off-Trade,R0004,CH-02-375,Maison Etoile Brut Rosé 375ml,375,9,30.09,USD,1,,O500158,INV500188
2023-07-28,USA,OR,D001,On-Trade,R0006,CH-02-375,Maison Étoile - Brut Rosé 375ml,375,7,33.83,USD,0,,O500159,INV500163
12/09/2024,USA,NJ,D003,E-Commerce,R0006,CH-06-375,Maison Étoile Demi-sec 375 mL,375,5,27.76,USD,1,,O500160,INV500187
08/21/2024,USA,MI,D001,On-Trade,R0006,CH-03-375,MAISON ÉTOILE blanc de blancs 375ml,375,5,28.07,USD,0,,O500161,INV500163
07/12/2023,USA,CT,D003,On-Trade,R0016,CH-03-375,Maison Etoile Blanc de Blancs 375ml,375,1,29.14,USD,0,,O500162,INV500199
03/24/2023,USA,TX,D002,On-Trade,R0006,CH-07-750,MAISON ÉTOILE extra brut 750ml,750,7,58.09,USD,0,,O500163,INV500184
2025-06-11,Canada,NS,D001,On-Trade,R0008,CH-02-375,MAISON ÉTOILE brut rosé 375ml,375,3,50.2,CAD,0,,O500164,INV500186
03/27/2024,USA,WA,D004,Off-Trade,R0016,CH-02-375,MAISON ÉTOILE brut rosé 375ml,375,6,33.72,USD,1,P1032,O500165,INV500187
2024-07-01,Canada,NL,D001,On-Trade,R0009,CH-01-750,Maison Etoile Brut Tradition 750ml,750,5,91.72,CAD,0,,O500166,INV500179
2025-01-09,USA,MI,D001,On-Trade,R0016,CH-04-750,Maison Étoile Vintage 2014 750 mL,750,5,60.43,USD,0,,O500167,
03/22/2024,USA,GA,D001,Off-Trade,R0017,CH-01-750,Maison Étoile - Brut Tradition 750ml,750,2,53.84,USD,0,,O500168,INV500191
2024-12-15,USA,GA,D001,Off-Trade,R0016,CH-01-1500,MAISON ÉTOILE brut tradition 1500ml,1500,6,133.47,USD,0,P1014,O500169,INV500195
06/03/2023,USA,MI,D002,Off-Trade,R0003,CH-03-375,Maison Etoile Blanc de Blancs 375ml,375,11,28.62,USD,0,P1009,O500170,INV500185
02-12-2023,Canada,PE,D002,Off-Trade,R0008,CH-06-375,Maison Étoile - Demi-sec 375ml,375,11,45.84,CAD,0,P1001,O500171,INV500212
10-05-2023,Canada,NB,D004,Off-Trade,R0011,CH-03-750,Maison Étoile Blanc de Blancs 750 mL,750,4,68.69,CAD,0,,O500172,INV500190
10-03-2023,USA,TX,D002,Off-Trade,R0005,CH-04-375,Maison Étoile Vintage 2014 375 mL,375,3,39.21,USD,1,,O500173,INV500180
10/13/2024,USA,VA,D002,On-Trade,R0016,CH-01-750,Maison Étoile - Brut Tradition 750ml,750,3,64.1,USD,0,,O500174,INV500191
28-09-2024,USA,NC,D001,On-Trade,R0016,CH-02-1500,Maison Etoile Brut Rosé 1500ml,1500,1,119.47,USD,0,P1028,O500175,INV500216
08/24/2023,USA,OR,D004,On-Trade,R0014,CH-02-1500,Maison Étoile Brut Rosé 1500 mL,1500,1,106.96,USD,1,P1016,O500176,INV500225
2025-05-02,USA,NY,D003,Off-Trade,R0018,CH-01-750,Maison Étoile Brut Tradition 750 mL,750,2,59.84,USD,0,,O500177,INV500208
